t,value
62,106.8835
63,107.0078
64,106.7322
65,106.5142
66,106.5051
67,106.9013
68,107.2966
69,107.9876
70,108.3436
71,108.722
72,108.9245
73,108.882
74,108.7001
75,108.7819
76,108.5086
77,107.9227
78,107.3108
79,106.8058
80,107.2696
81,107.9081
82,108.1275
83,108.6786
84,109.0593
85,109.0666
86,108.9121
87,108.7426
88,108.6937
89,108.4643
90,108.0936
91,108.2723
92,108.3614
93,108.828
94,109.344
95,109.7864
96,110.147
97,109.9687
98,110.0697
99,110.3343
100,110.4719
101,110.3001
102,110.3362
103,110.9792
104,111.3283
105,111.4188
106,111.7492
107,111.8447
108,111.9462
109,111.869
110,112.2039
111,112.798
112,112.7268
113,112.7295
114,112.6632
115,113.277
116,113.7907
117,114.048
118,114.5013
119,114.9775
120,115.1608
121,115.1685
122,115.2325
123,115.3664
124,115.5703
125,115.1832
126,114.8153
127,115.0342
128,115.5204
129,116.1721
130,116.7873
131,117.0359
132,117.0592
133,117.2548
134,117.2488
135,117.3407
